file,location,reference,match,kind,bucket,authority,reproducible,flag
PROGRESS.md,4,- last_update: 2026-09-16（logits 误差口径统一与路径字段规范化）,logits,statement,B11_statement,（方法或口径说明，不指向具体数值）,-,
PROGRESS.md,4,- last_update: 2026-09-16（logits 误差口径统一与路径字段规范化）,误差,statement,B11_statement,（方法或口径说明，不指向具体数值）,-,
PROGRESS.md,21,| M09 | 结构重参数化验证 | done | 09-13 14:20 | 09-13 14:45 | outputs/reparam/ | PASS |,重参数化,statement,B4_reparam_pet37_32rand,outputs/reparam/repvit_m0_9_pet37_reparam_report.json,yes,
PROGRESS.md,23,| 进阶任务 | done | 09-13 16:45 | 09-13 17:05 | outputs/advanced/（家族/消融/深度重参数化/鲁棒性/可解释性） | PASS |,重参数化,statement,B4_reparam_pet37_32rand,outputs/reparam/repvit_m0_9_pet37_reparam_report.json,yes,
PROGRESS.md,49,| reparam_max_abs_err_pet37 | 7.093e-06（落盘 7.092952728271484e-06） | 融合前后 PyTorch logits 最大绝对误差；32 个固定随机输入 seed=20240912、batch=8、CPU FP32 | outputs/reparam/repvit_m0_9_pet37_reparam_report.json |,7.092952728271484e-06,error_value,B4_reparam_pet37_32rand,outputs/reparam/repvit_m0_9_pet37_reparam_report.json,yes,
PROGRESS.md,49,| reparam_max_abs_err_pet37 | 7.093e-06（落盘 7.092952728271484e-06） | 融合前后 PyTorch logits 最大绝对误差；32 个固定随机输入 seed=20240912、batch=8、CPU FP32 | outputs/reparam/repvit_m0_9_pe,7.093e-06,error_value,B4_reparam_pet37_32rand,outputs/reparam/repvit_m0_9_pet37_reparam_report.json,yes,
PROGRESS.md,49,ax_abs_err_pet37 | 7.093e-06（落盘 7.092952728271484e-06） | 融合前后 PyTorch logits 最大绝对误差；32 个固定随机输入 seed=20240912、batch=8、CPU FP32 | outputs/reparam/repvit_m0_9_pet37_reparam_report.json | `python tools/reparam_,logits,statement,B4_reparam_pet37_32rand,outputs/reparam/repvit_m0_9_pet37_reparam_report.json,yes,
PROGRESS.md,49,pet37 | 7.093e-06（落盘 7.092952728271484e-06） | 融合前后 PyTorch logits 最大绝对误差；32 个固定随机输入 seed=20240912、batch=8、CPU FP32 | outputs/reparam/repvit_m0_9_pet37_reparam_report.json | `python tools/reparam_verify.,误差,statement,B4_reparam_pet37_32rand,outputs/reparam/repvit_m0_9_pet37_reparam_report.json,yes,
PROGRESS.md,50,| reparam_mean_abs_err_pet37 | 2.031e-06（落盘 2.030726818702533e-06） | 同上；Top-1 32/32 一致 | 同上 | 同上 |,2.030726818702533e-06,error_value,B4_reparam_pet37_32rand,outputs/reparam/repvit_m0_9_pet37_reparam_report.json,yes,
PROGRESS.md,50,| reparam_mean_abs_err_pet37 | 2.031e-06（落盘 2.030726818702533e-06） | 同上；Top-1 32/32 一致 | 同上 | 同上 |,2.031e-06,error_value,B4_reparam_pet37_32rand,outputs/reparam/repvit_m0_9_pet37_reparam_report.json,yes,
PROGRESS.md,58,"et37 | n=12 真实图片; max|Δ|=6.198883056640625e-06（展示 6.199e-06）, mean|Δ|=1.5006899711048998e-06（展示 1.501e-06）, Top-1 与 Top-5 集合一致率均 1.000 | PyTorch↔ONNX，Pet-37，pet_test.txt 按顺序前 12 张；每张独立预处理一次后同一张量送两端，CPU FP32 / batch=1 / 224",1.5006899711048998e-06,error_value,B1_onnx_pet37_n12,outputs/metrics/consistency_repvit_m0_9_pet37.json,yes,
PROGRESS.md,58,".198883056640625e-06（展示 6.199e-06）, mean|Δ|=1.5006899711048998e-06（展示 1.501e-06）, Top-1 与 Top-5 集合一致率均 1.000 | PyTorch↔ONNX，Pet-37，pet_test.txt 按顺序前 12 张；每张独立预处理一次后同一张量送两端，CPU FP32 / batch=1 / 224×224（**与重参数化实",1.501e-06,error_value,B1_onnx_pet37_n12,outputs/metrics/consistency_repvit_m0_9_pet37.json,yes,
PROGRESS.md,58,"| consistency_pet37 | n=12 真实图片; max|Δ|=6.198883056640625e-06（展示 6.199e-06）, mean|Δ|=1.5006899711048998e-06（展示 1.501e-06）, Top-1 与 Top-5 集合一致率均 1.000 | PyTorch↔ONNX，Pet-37，pet_test.txt 按顺序前 1",6.198883056640625e-06,error_value,B1_onnx_pet37_n12,outputs/metrics/consistency_repvit_m0_9_pet37.json,yes,
PROGRESS.md,58,"| consistency_pet37 | n=12 真实图片; max|Δ|=6.198883056640625e-06（展示 6.199e-06）, mean|Δ|=1.5006899711048998e-06（展示 1.501e-06）, Top-1 与 Top-5 集合一致率均 1.000 | PyTorch↔ONNX，Pet-37，pet_test.txt 按顺序前 12 张；每张独立预处理一次",6.199e-06,error_value,B1_onnx_pet37_n12,outputs/metrics/consistency_repvit_m0_9_pet37.json,yes,
PROGRESS.md,58,"Δ|=1.5006899711048998e-06（展示 1.501e-06）, Top-1 与 Top-5 集合一致率均 1.000 | PyTorch↔ONNX，Pet-37，pet_test.txt 按顺序前 12 张；每张独立预处理一次后同一张量送两端，CPU FP32 / batch=1 / 224×224（**与重参数化实验分开，不可并列**） | outputs/metrics/consistency_re",PyTorch↔ONNX,statement,B1_onnx_pet37_n12,outputs/metrics/consistency_repvit_m0_9_pet37.json,yes,
PROGRESS.md,58,"9e-06）, mean|Δ|=1.5006899711048998e-06（展示 1.501e-06）, Top-1 与 Top-5 集合一致率均 1.000 | PyTorch↔ONNX，Pet-37，pet_test.txt 按顺序前 12 张；每张独立预处理一次后同一张量送两端，CPU FP32 / batch=1 / 224×224（**与重参数化实验分开，不可并列**） | outputs/",一致率,statement,B1_onnx_pet37_n12,outputs/metrics/consistency_repvit_m0_9_pet37.json,yes,
PROGRESS.md,58,_test.txt 按顺序前 12 张；每张独立预处理一次后同一张量送两端，CPU FP32 / batch=1 / 224×224（**与重参数化实验分开，不可并列**） | outputs/metrics/consistency_repvit_m0_9_pet37.json | `python deploy/compare_torch_onnx.py --model repvit_m0_9_pet37,重参数化,statement,B1_onnx_pet37_n12,outputs/metrics/consistency_repvit_m0_9_pet37.json,yes,
PROGRESS.md,59,"| consistency_m0_9_in1k | n=12 真实图片; max|Δ|=1.71661376953125e-05（展示 1.717e-05）, mean|Δ|=2.360081756099438e-06（展示 2.360e-06） | PyTorch↔ONNX，官方 M0.9，imagenet_val_subset.txt 前 12 张 | outputs/metric",1.71661376953125e-05,error_value,B2_onnx_m0_9_in1k_n12,outputs/metrics/consistency_repvit_m0_9_in1k.json,yes,
PROGRESS.md,59,"| consistency_m0_9_in1k | n=12 真实图片; max|Δ|=1.71661376953125e-05（展示 1.717e-05）, mean|Δ|=2.360081756099438e-06（展示 2.360e-06） | PyTorch↔ONNX，官方 M0.9，imagenet_val_subset.txt 前 12 张 | outputs/metrics/consistency",1.717e-05,error_value,B2_onnx_m0_9_in1k_n12,outputs/metrics/consistency_repvit_m0_9_in1k.json,yes,
