型号,案例,案例图,图片文件名,真值,预测 Top-1,Top-1 置信度,Top-5（类别|置信度）,判定
repvit_m0_9,正确_1,outputs/pretrained_eval/repvit_m0_9/cases/correct_1.png,5bfde25883425ace6a55f9d94e5c29172f9f3438.jpeg,Band Aid,Band Aid,1.0000,Band Aid 1.0000 | carton 0.0000 | toilet tissue 0.0000 | packet 0.0000 | oil filter 0.0000,判对
repvit_m0_9,正确_2,outputs/pretrained_eval/repvit_m0_9/cases/correct_2.png,069930cfb7f1650ace5b3d86f6cb87b9a23e2dbd.jpeg,punching bag,punching bag,0.9999,punching bag 0.9999 | sleeping bag 0.0000 | rain barrel 0.0000 | balloon 0.0000 | barbell 0.0000,判对
repvit_m0_9,错误_1,outputs/pretrained_eval/repvit_m0_9/cases/wrong_1.png,12013926ecf4cbd277c71e053c1c82c752c4bde7.jpeg,sarong,umbrella,0.9990,umbrella 0.9990 | freight car 0.0002 | mountain tent 0.0001 | breakwater 0.0001 | parachute 0.0000,判错
repvit_m0_9,错误_2,outputs/pretrained_eval/repvit_m0_9/cases/wrong_2.png,0da57934fe1db8352e6f3d3bcb93cfcbd3d91b69.jpeg,weasel,lesser panda,0.9984,lesser panda 0.9984 | polecat 0.0002 | dhole 0.0000 | red fox 0.0000 | giant panda 0.0000,判错
repvit_m1_0,正确_1,outputs/pretrained_eval/repvit_m1_0/cases/correct_1.png,5bfde25883425ace6a55f9d94e5c29172f9f3438.jpeg,Band Aid,Band Aid,0.9999,Band Aid 0.9999 | carton 0.0000 | mousetrap 0.0000 | packet 0.0000 | nipple 0.0000,判对
repvit_m1_0,正确_2,outputs/pretrained_eval/repvit_m1_0/cases/correct_2.png,05517c0565801bff83d99555ea6d5695a0ba4156.jpeg,oxygen mask,oxygen mask,0.9999,oxygen mask 0.9999 | Petri dish 0.0000 | nipple 0.0000 | gasmask 0.0000 | lab coat 0.0000,判对
repvit_m1_0,错误_1,outputs/pretrained_eval/repvit_m1_0/cases/wrong_1.png,0da57934fe1db8352e6f3d3bcb93cfcbd3d91b69.jpeg,weasel,lesser panda,0.9975,lesser panda 0.9975 | giant panda 0.0002 | polecat 0.0001 | marmoset 0.0001 | patas 0.0001,判错
repvit_m1_0,错误_2,outputs/pretrained_eval/repvit_m1_0/cases/wrong_2.png,020d45d2491d9795f67c6340b7dec69d1a2efd8e.jpeg,mobile home,pickup,0.9963,pickup 0.9963 | tow truck 0.0010 | birdhouse 0.0008 | jeep 0.0004 | limousine 0.0002,判错
repvit_m1_1,正确_1,outputs/pretrained_eval/repvit_m1_1/cases/correct_1.png,069930cfb7f1650ace5b3d86f6cb87b9a23e2dbd.jpeg,punching bag,punching bag,0.9999,punching bag 0.9999 | sleeping bag 0.0000 | plunger 0.0000 | barbell 0.0000 | cash machine 0.0000,判对
repvit_m1_1,正确_2,outputs/pretrained_eval/repvit_m1_1/cases/correct_2.png,29d195d15a9b7648a066f3c7d5111dac32e05e41.jpeg,parachute,parachute,0.9999,parachute 0.9999 | balloon 0.0000 | binoculars 0.0000 | scuba diver 0.0000 | rugby ball 0.0000,判对
repvit_m1_1,错误_1,outputs/pretrained_eval/repvit_m1_1/cases/wrong_1.png,12013926ecf4cbd277c71e053c1c82c752c4bde7.jpeg,sarong,umbrella,0.9993,umbrella 0.9993 | breakwater 0.0000 | greenhouse 0.0000 | mountain tent 0.0000 | pier 0.0000,判错
repvit_m1_1,错误_2,outputs/pretrained_eval/repvit_m1_1/cases/wrong_2.png,04245c2746a64c4b402f2394300bf7a0f08df010.jpeg,printer,photocopier,0.9989,photocopier 0.9989 | printer 0.0006 | file 0.0001 | refrigerator 0.0000 | apiary 0.0000,判错
repvit_m1_5,正确_1,outputs/pretrained_eval/repvit_m1_5/cases/correct_1.png,06ca91b59a223e7ec1d00ce89155eb4d12bf9e88.jpeg,hartebeest,hartebeest,0.9995,hartebeest 0.9995 | gas pump 0.0001 | impala 0.0001 | warthog 0.0000 | tusker 0.0000,判对
repvit_m1_5,正确_2,outputs/pretrained_eval/repvit_m1_5/cases/correct_2.png,1e71728d85217309f067542c7d81439ab9b68050.jpeg,half track,half track,0.9995,half track 0.9995 | military uniform 0.0000 | tank 0.0000 | amphibian 0.0000 | jeep 0.0000,判对
repvit_m1_5,错误_1,outputs/pretrained_eval/repvit_m1_5/cases/wrong_1.png,0da57934fe1db8352e6f3d3bcb93cfcbd3d91b69.jpeg,weasel,lesser panda,0.9957,lesser panda 0.9957 | giant panda 0.0006 | polecat 0.0003 | patas 0.0001 | orangutan 0.0001,判错
repvit_m1_5,错误_2,outputs/pretrained_eval/repvit_m1_5/cases/wrong_2.png,008786499c1726d2614f9e3aee20478c5ef48ae2.jpeg,green snake,vine snake,0.9921,vine snake 0.9921 | green snake 0.0054 | rock beauty 0.0003 | green mamba 0.0001 | night snake 0.0001,判错
repvit_m2_3,正确_1,outputs/pretrained_eval/repvit_m2_3/cases/correct_1.png,3b5f30ae68b3376f6f2c7817670abb163a88df05.jpeg,medicine chest,medicine chest,0.9992,medicine chest 0.9992 | bookcase 0.0001 | window screen 0.0001 | safe 0.0000 | china cabinet 0.0000,判对
repvit_m2_3,正确_2,outputs/pretrained_eval/repvit_m2_3/cases/correct_2.png,052b1f469a4c30672953c782e212601635c99907.jpeg,can opener,can opener,0.9985,can opener 0.9985 | hammer 0.0002 | corkscrew 0.0001 | scabbard 0.0001 | screw 0.0001,判对
repvit_m2_3,错误_1,outputs/pretrained_eval/repvit_m2_3/cases/wrong_1.png,0da57934fe1db8352e6f3d3bcb93cfcbd3d91b69.jpeg,weasel,lesser panda,0.9950,lesser panda 0.9950 | polecat 0.0002 | giant panda 0.0001 | orangutan 0.0001 | toucan 0.0001,判错
